timestamp_iso,window_seconds,pos_count,neg_count,neu_count,effective_frames,pos_ratio,neg_ratio,classification
2025-09-27T18:45:58,5.0,28,1,43,29,0.966,0.034,positive
2025-09-27T18:46:03,5.0,1,5,61,6,0.167,0.833,insufficient
2025-09-27T18:46:08,5.0,0,36,48,36,0.000,1.000,negative
2025-09-27T18:46:13,5.0,75,6,0,81,0.926,0.074,positive
2025-09-27T18:46:18,5.0,22,40,12,62,0.355,0.645,negative
2025-09-27T18:46:23,5.0,0,11,63,11,0.000,1.000,negative
2025-09-27T18:46:28,5.0,10,1,49,11,0.909,0.091,positive
2025-09-27T18:46:34,5.0,33,21,4,54,0.611,0.389,positive
2025-09-27T18:46:39,5.0,27,25,19,52,0.519,0.481,mixed
2025-09-27T18:46:44,5.0,0,77,33,77,0.000,1.000,negative
2025-09-27T18:46:49,5.0,1,58,31,59,0.017,0.983,negative
2025-09-27T18:46:54,5.0,0,78,21,78,0.000,1.000,negative
2025-09-27T18:46:59,5.0,0,7,92,7,0.000,1.000,insufficient
2025-09-27T18:47:04,5.0,32,6,67,38,0.842,0.158,positive
2025-09-27T18:47:09,5.0,5,73,39,78,0.064,0.936,negative
2025-09-27T18:50:25,5.0,11,5,55,16,0.688,0.312,positive
2025-09-27T18:50:30,5.0,5,0,69,5,1.000,0.000,insufficient
2025-09-27T18:50:35,5.0,27,8,33,35,0.771,0.229,positive
2025-09-27T18:50:40,5.0,27,30,36,57,0.474,0.526,mixed
2025-09-27T18:50:45,5.0,0,19,91,19,0.000,1.000,negative
2025-09-27T18:50:50,5.0,0,2,87,2,0.000,1.000,insufficient
2025-09-27T18:50:55,5.0,0,54,45,54,0.000,1.000,negative
2025-09-27T18:51:00,5.0,0,83,24,83,0.000,1.000,negative
2025-09-27T18:51:05,5.0,0,108,7,108,0.000,1.000,negative
2025-09-27T18:51:10,5.0,0,89,25,89,0.000,1.000,negative
2025-09-27T18:51:15,5.0,0,116,2,116,0.000,1.000,negative
2025-09-27T18:51:20,5.0,11,26,37,37,0.297,0.703,negative
2025-09-27T18:51:25,5.0,2,22,50,24,0.083,0.917,negative
2025-09-27T18:51:30,5.0,0,25,49,25,0.000,1.000,negative
2025-09-27T18:51:35,5.0,0,74,0,74,0.000,1.000,negative
2025-09-27T18:51:40,5.0,0,74,0,74,0.000,1.000,negative
2025-09-27T18:51:45,5.0,0,110,3,110,0.000,1.000,negative
2025-09-27T18:51:50,5.0,0,89,28,89,0.000,1.000,negative
2025-09-27T18:51:55,5.0,0,43,72,43,0.000,1.000,negative
2025-09-27T18:52:00,5.0,0,84,32,84,0.000,1.000,negative
